sample	repo	issue	code	verdict	reason
first-version-held-out	radareorg/radare2	6283	GONE	real	real
first-version-held-out	vectordotdev/vector	17208	GONE	real	real
first-version-held-out	nexu-io/open-design	4104	GONE	real	real
first-version-held-out	podman-container-tools/podman	15102	GONE	false	other
first-version-held-out	brave/brave-browser	42457	GONE	real	real
first-version-held-out	processing/p5.js	9048	GONE	real	real
first-version-held-out	radareorg/radare2	13462	GONE	real	real
first-version-held-out	recharts/recharts	4163	GONE	real	real
first-version-held-out	juspay/hyperswitch	6048	GONE	real	real
first-version-held-out	processing/p5.js	7798	GONE	false	waiting-on-project
first-version-held-out	kestra-io/kestra	15333	GONE	false	declined-or-moot
first-version-held-out	microsoft/terminal	16646	GONE	real	real
first-version-held-out	uutils/coreutils	1857	GONE	false	handed-to-someone-else
first-version-held-out	JuliaLang/julia	56699	GONE	false	declined-or-moot
first-version-held-out	kestra-io/kestra	15835	GONE	false	declined-or-moot
first-version-held-out	FuelLabs/sway	4006	GONE	false	followed-through
first-version-held-out	podman-container-tools/podman	28937	GONE	false	not-a-claim
first-version-held-out	dotnet/runtime	128260	GONE	false	declined-or-moot
first-version-held-out	google/comprehensive-rust	52	GONE	real	real
first-version-held-out	apache/dubbo	15718	GONE	real	real
first-version-held-out	milvus-io/milvus	50633	GONE	false	not-a-claim
first-version-held-out	processing/p5.js	5746	GONE	false	waiting-on-project
first-version-held-out	swiftlang/swift	63679	GONE	real	real
first-version-held-out	processing/p5.js	8274	GONE	false	handed-to-someone-else
first-version-held-out	argoproj/argo-cd	7189	GONE	false	followed-through
first-version-held-out	elastic/elasticsearch	70676	GONE	false	handed-to-someone-else
first-version-held-out	linera-io/linera-protocol	4562	GONE	false	other
first-version-held-out	recharts/recharts	2666	GONE	false	not-a-claim
first-version-held-out	kestra-io/kestra	18190	GONE	false	declined-or-moot
first-version-held-out	kestra-io/kestra	15741	GONE	false	withdrawn
first-version-held-out	Infisical/infisical	940	GONE	false	waiting-on-project
first-version-held-out	apache/dubbo	16156	GONE	real	real
first-version-held-out	radareorg/radare2	20034	GONE	real	real
first-version-held-out	recharts/recharts	710	GONE	false	handed-to-someone-else
first-version-held-out	microsoft/terminal	20164	GONE	real	real
first-version-held-out	juspay/hyperswitch	6106	GONE	false	followed-through
first-version-held-out	podman-container-tools/podman	29210	GONE	real	real
first-version-held-out	nextcloud/server	4198	GONE	false	waiting-on-project
first-version-held-out	backstage/backstage	33438	GONE	false	handed-to-someone-else
first-version-held-out	mermaid-js/mermaid	4898	GONE	false	handed-to-someone-else
first-version-held-out	kestra-io/kestra	17829	GONE	false	handed-to-someone-else
first-version-held-out	metabase/metabase	9436	GONE	false	withdrawn
first-version-held-out	keploy/keploy	2696	GONE	real	real
first-version-held-out	elastic/elasticsearch	147723	GONE	false	waiting-on-project
first-version-held-out	processing/p5.js	4499	GONE	false	handed-to-someone-else
