# repo	sha	parent	files -- the 164 public commits (of 606 found by commit search, 2026-09-24) whose patch touched a label link or an issue template's labels
Tyler-Oliveira/Rustchain	2cf96409e18de240718fb6eaf005c5e99576b9cc	6d650a381f3224551dd32a0a7b2b1ecd491ee201	CONTRIBUTING.md
stellar-zklab/stellar-zkstream	07064c6fa1fff036841cf4dfff8b82e4b78d71c4	27311e6fc299318089e8532a31fdcc0befc4879d	CONTRIBUTING.md
stellar-zklab/stellar-zkident	526ca330454748b95c34c1281676a13669c36c96	8ccccb143be26d9453aed11503d0fb0e5c640136	CONTRIBUTING.md
stellar-zklab/soroban-yield-vault	25d918a3f6ea45fde195c6f02f0feabb6fc7351a	03d0f2781ec915e31a1f9fdaa4190053be334b96	CONTRIBUTING.md
agntcy/slim	b90e3debc4fcbc0d1e456af31e787e152b488668	002ddbe4eb1289b4d05e65702330eb889d13f855	docs/content/index.md
NachoOFC/Rustchain	c3aabf4005521ebf4195d80ac8a37a1010b430d6	57a91c3ec0a6dbbbc78f8a6fdbc8adb13d9d9530	CONTRIBUTING.md
stacklok/.github	8f991343fd97b8cc7ca23f23911ffbf3492aea5d	5a9853c05581beaafb4e7253c747edc2edd09a6f	profile/README.md
Osmos-App/.github	4c0d65ba6326a4971d289d26e7e5a05507286cf1	be6a1cbd4d7ddbdfe772fe68e1c1664bfcb6d579	profile/README.md
FreshRSS/freshrss.org	83bcaa45958cf3004838859131b3accec55b5fc7	ec398718dc03ee6638649f39a5d1d94971e96e95	index.html
asphwathpc/graphify-okf-bridge	6cad003a298c01dc3753a23b7c150b51e82ef896	0c0b7a9dee1bed0462e28ca2fa40c2f47c7458a7	CONTRIBUTING.md
askmy-stack/market-pulse-mcp	b39b91dbcd64e2d25c027662094bb58d19d0039a	16812e35c10ebe10ccf27269371dc5896983fdda	CONTRIBUTING.md
starship/starship	a675122f28b024c67342ffc738a67dae52ea3ddf	ebba0035a21769a8ae5c92678c065d72e4cf15e3	README.md
Scottcjn/rustchain-bounties	e4e8dc05a31dc77ed2d4f227350970d0bf55d109	da9cbb3497b8b61855e97b2f289548a5e56484f4	README.md
V-PTL-PROTOCOL/V-PTL-swap	daac6f5184acdc84989f9939e474255b2ba77692	55064005a3087e98fe815e1ff5967c33610468ad	README.md
Cryptoteep/chroma-flow	2ef57e28d80dee6169c732c41a20f89336185c3d	ff76eb3a60bd263e96b58611b12941a299963850	README.hi.md
MSKazemi/novafabric	9f481239158bf51b0720936bce3aacaa7006541a	4d1e90903eaa883ab73487dbe90e6a38cdf15f6c	README.md
GraafG/markitdown-powerplatform	90b10afda2963a09f1b8bbe625d5787ca4709a76	7e9731897631ab9e6b23c555ae79d14f09eab3d9	CONTRIBUTING.md
farhathmh/learn-ccnp-with-claude	167922bb837dc2ad0c8e3b76253fea84c16c8a9a	8295d18e816d9f50626fc73f9acf597a5a25b150	README.md
european-summer-of-code/esoc2026	365c1aa46696b8c25ecca11c79a9447578b226d4	968c77987f1bbb5579b06b21f62483b8084807b0	README.md
gyealock/aspires	7dad4ac2bc32e4c3c408b1d5368243296fa1b75c	3d599a673b725132df9adcba42bea69a8976d143	packages/next/README.md
weecology/DeepForest	0ab23a3456a3b2cafe7b8b6f3184a783201a06a2	47913d30467fc1050f1f3083b3b7c5e377baca30	README.md
ipfs/.github	6f06792b472980b9f2524f3d0cbbfda7eeb8f584	89b165fbdf3ac70f76cdd9d05725832e8f2ea8bf	profile/README.md
llvm/mlir-www	58bce635a9f8f5d24f886796c3d48decbf84e992	ee95a826cb1ad461cd2cb63a8634b66fb0e31ed5	website/content/getting_started/openprojects.md
AccessInter/atlas-toolkit	51c8aad14051fa6c87c95f8a58b197b37a6d257a	9f6e2cbddddc18fcd48423f7cf1f25cf00896265	README.en.md,README.md
codecoradev/titen	f5644e00f66871a722e949f269cc1fab998b33b3	9921e157188056118d0f7bcabd3395d5f910c049	.github/ISSUE_TEMPLATE/bug_report.yml,.github/ISSUE_TEMPLATE/feature_request.yml
RudrenduPaul/agent-observability	c26da383266f57c04ceb87488a725effb3598f40	e9f80720c91807c2a125a64ac705dce5cc31d8e1	README.md
OxyHQ/.github	39541240972672e6c6afedb5bf0b389210eefab0	f1c6d31d18d8843ba6f85188f331bc8aac87230b	CONTRIBUTING.md
uPIKs92/titen	9dfa24d9a15f9fb9c3d37a6c81bfb41e3ec212bc	4df4b6060b4b204fb73ad13ced1b7dc28569b4e8	.github/ISSUE_TEMPLATE/bug_report.yml,.github/ISSUE_TEMPLATE/feature_request.yml
techempower-org/forageforall	c4b90e44692ab1df87a0de9f03b22565cc3cb79a	6f352e4653d4f5813d56ce0d441764281af05fe7	docs/SETUP.md
Rekin226/aquascope	cb927b2e668effc45011c2518d70f72abd189199	17df4ab3ea4ef4ed4e665a39a687abf8d737108c	ROADMAP.md
WyattAu/clawdius	3e957607fa79347254e342438d9410f530a634b8	1029430a678b511c381e2e2e20ff88fe31e17c21	README.md
tuna-os/docs	fe8febbba215ad02adadaf9b7f9106e6be99253f	d6e61b0c7bbcd7af5962a2c0d07253c3e4505f2c	blog/2026-09-25-hacktoberfest-2026.md
rtthw/rust-analyzer-no-config	4ed107fbc90cf073eabf19f50a662c1439897c0a	87f99c7dbde759ca009b18b3072ae4f77e902aad	docs/book/src/contributing/README.md
spribeceo-gif/rust-lang-rust	f6b64d153332b2f3d5f8e1116405f4f1d9beea4e	a30f16706a5d0f78a70264d62bb071a07c5c4c83	src/tools/rust-analyzer/docs/book/src/contributing/README.md
OpenZeppelin/rust-contracts-stylus	cdb34bbfa780e5a6e3dfcf24e79f900d95781f63	97fd57be998e28f3647ca7e40d4bcc3ae6749f4c	CONTRIBUTING.md
